EVENT_ID,EVENT_TITLE,EVENT_STR_DT,EVENT_END_DT,MAP_X,MAP_Y,ADDRESS,CATEGORY,CODE_SQL
141731,음성품바축제,20230517,20230521,127.6910022,36.93276543,충청북도 음성군 음성읍 설성공원길 28,A02070100,164
141704,기지시줄다리기축제,20220513,20220515,126.6947487,36.89621575,충청남도 당진시 송악읍 안틀모시길 11,A02070200,174
141641,서천 동백꽃 주꾸미축제,20230318,20230402,126.5036834,36.12978667,충청남도 서천군 서인로 58,A02070200,178
141578,보물섬 마늘&한우 축제,20220610,20220612,127.8991571,34.83196884,경상남도 남해군 남해읍 남해대로 2745,A02070200,213
141399,서귀포 겨울바다 국제펭귄수영대회,20230101,20230101,126.4156521,33.24501791,제주특별자치도 서귀포시 색달동 3039,A02081200,267
141379,삼척 해맞이축제,20230101,20230101,129.3460898,37.22938764,강원도 삼척시 원덕읍 임원항구로 30-11,A02070200,144
141371,땅끝 해넘이해맞이축제,20221231,20230101,126.527507,34.29976639,전라남도 해남군 송지면 땅끝마을길 42,A02070200,263
141360,제주성산일출축제,20221231,20230101,126.9415156,33.45811112,제주특별자치도 서귀포시 성산읍 일출로 284-12,A02070200,267
141274,조선통신사 축제,20230505,20230507,129.0604783,35.13578345,부산광역시 동구 자성로 99,A02070200,92
141268,서천 홍원항 자연산 전어·꽃게 축제,20220820,20220904,126.5012968,36.15633359,충청남도 서천군 홍원길 88,A02070200,178
141251,여주금사참외축제,20230526,20230528,127.5322258,37.38923762,경기도 여주시 금사면 이여로 1278,A02070200,129
141252,영월 김삿갓 문화제,20211002,20211002,128.6021939,37.08267347,강원도 영월군 김삿갓면 와석리 897-2,A02070200,148
141236,생거진천 농·예·문 통합축제,20221006,20221009,127.4398938,36.85007317,충청북도 진천군 문화로 79 진천문화원,A02070200,166
141234,괴산고추축제,20220901,20220904,127.7834945,36.81474179,충청북도 괴산군 임꺽정로 113,A02070100,159
141222,부산콘텐츠유니버시아드,20221124,20221126,129.1254661,35.17287216,온라인개최,A02070200,103
141220,제8회 대한민국국제포토페스티벌  < 메타 리얼리티 : 현실 그 너머 >,20220909,20220915,127.010715,37.47852616,서울특별시 서초구 남부순환로 2406,A02080500,49
141188,전주국제발효식품엑스포,20221020,20221024,127.0651872,35.86805674,전라북도 전주시 덕진구 기린대로 1055,A02080600,240
